,user,text,favorite_count,retweet_count,created_at
72,JeffBezos,"This piece by Jonathan Haidt is thoughtful, beautifully written, and important. Very worth the long read. https://t.co/45ELZ829JW",10671,1733,2022-04-19 01:42:23+00:00
73,JeffBezos,@IrishEcom @JakubSzunyogh Yeah you have good hair. 😊 Nice meeting you and all the best.,373,10,2022-04-15 19:15:06+00:00
74,JeffBezos,@dwarkesh_sp @joodaloop You’re thoughtful and thought-provoking. Gratitude. Please keep it up!,1390,22,2022-04-14 19:37:15+00:00
75,JeffBezos,Or do portion. Worked out great and makes it easy for employees who want to volunteer. https://t.co/r0dZWsMxWT https://t.co/NbUNl1bkJ3,37537,2034,2022-04-10 20:23:37+00:00
76,JeffBezos,"(2/2) and evaluates many factors including the ability to advance, skills growth, company stability, external opportunity, company affinity, and gender diversity.

Thank you to each and every one of Amazon’s employees for all your hard work and dedication. It is Day 1.",1688,118,2022-04-06 18:09:59+00:00
77,JeffBezos,"We must be better every day, and we know there is even more to do, but super proud of Amazon being ranked the #1 place where people want to work by LinkedIn. Their methodology uses LinkedIn’s unique data set from its 810 million members (1/2) https://t.co/Exw8nARKcG",6745,582,2022-04-06 18:09:59+00:00
78,JeffBezos,"We’ve just opened a second humanitarian aid hub to help Ukrainian refugees — this one in Poland. Like the first one we opened in Slovakia, it’s a fulfillment center dedicated to this issue, using our logistics and distribution experience to help. https://t.co/WPizdHc74t",5799,484,2022-04-01 00:25:09+00:00
79,JeffBezos,"So great meeting you and learning about your work, Thomas. Incredible and inspiring. https://t.co/pI75KMcZOk",2324,246,2022-03-31 02:02:38+00:00
80,JeffBezos,https://t.co/C5LsobYQf6,1463,152,2022-03-30 18:39:52+00:00
81,JeffBezos,Two legends of the booth coming to @NFLonPrime. https://t.co/MiKPjdO4ul,1038,120,2022-03-23 22:26:20+00:00
82,JeffBezos,LOTR Super Bowl teaser... https://t.co/YgZ2o4rwCB,10959,1347,2022-02-14 01:41:17+00:00
83,JeffBezos,"Alexa, play our new Super Bowl ad. https://t.co/Q4WRjoiFqK",9163,1014,2022-02-07 15:37:20+00:00
84,JeffBezos,It was a year ago that the White House launched #Justice40. Proud of the Earth Fund team for helping drive it forward. https://t.co/PFHh4rvkRP,1819,209,2022-01-28 20:44:33+00:00
85,JeffBezos,(2/2) https://t.co/z7wwj3tf50,7282,738,2022-01-19 15:00:19+00:00
86,JeffBezos,Coming this September 2nd. Can’t wait for you to see it. @LOTRonPrime  (1/2) https://t.co/jd0wrPIJAp,28044,2112,2022-01-19 15:00:02+00:00
87,JeffBezos,Thanks @jonerlichman. 25 years ago today. Note the Netscape browser. https://t.co/CqFEt8DpIk,10885,1203,2022-01-05 17:47:08+00:00
88,JeffBezos,(2/2) All of Edwardsville should know that the Amazon team is committed to supporting them and will be by their side through this crisis. We extend our fullest gratitude to all the incredible first responders who have worked so tirelessly at the site.,2859,205,2021-12-12 01:59:03+00:00
89,JeffBezos,"The news from Edwardsville is tragic. We’re heartbroken over the loss of our teammates there, and our thoughts and prayers are with their families and loved ones. (1/2)",5355,420,2021-12-12 01:59:03+00:00
90,JeffBezos,Loved being with @MichaelStrahan on Thursday Night Football. Gave him a little something to pack for his flight. https://t.co/fdr3Hz9ojh,4650,331,2021-12-10 14:56:39+00:00
91,JeffBezos,"Congrats again, DJ. No one more deserving than you for the People’s Champ Award. https://t.co/RCeRAHkkHX",2678,189,2021-12-10 00:51:02+00:00
92,JeffBezos,"Today the Washington Post and the world lost an exceptional journalist and remarkable man: long-time Editorial Page Editor Fred Hiatt. I will miss his thoughtfulness, professionalism, and warm friendship. Our thoughts are with his beloved family at this difficult time. https://t.co/NoATYyyy7A",3012,261,2021-12-06 19:20:43+00:00
93,JeffBezos,"Welcome aboard, Michael! https://t.co/UfLHValZoT",3791,341,2021-11-24 18:30:29+00:00
94,JeffBezos,"(2/2) This year’s grants go to 32 groups led by experts who are making a difference in their communities, and the funds will help them further expand their important work. https://t.co/sLgl3mWBB3",1418,149,2021-11-17 13:50:58+00:00
95,JeffBezos,"For the fourth year in a row, the Bezos Day 1 Families Fund is making donations to organizations helping families in need across the U.S. These grants will provide support including housing, food, clothing, and other resources to help families get back on their feet. (1/2) https://t.co/JeI1CgX8Ft",7559,402,2021-11-17 13:50:58+00:00
96,JeffBezos,"(2/2) Our deepest sympathies are with his partner, Leah, and all his loved ones. The world lost you too soon, Glen.",2140,108,2021-11-12 23:14:22+00:00
97,JeffBezos,"Such a tragic loss. Warm and full of life, Glen made us laugh and lit up the room. He was a visionary, and an innovator – a true leader. Lauren and I are heartbroken and will remember the precious time we got to spend together. (1/2) https://t.co/AYKCGIUQfD",7196,437,2021-11-12 23:14:22+00:00
98,JeffBezos,"Leo, come over here, I want to show you something… @LeoDiCaprio https://t.co/Gt2v9JZTNz https://t.co/KqGLB839NI",265113,42189,2021-11-08 14:43:07+00:00
99,JeffBezos,"Congrats on this important work, @ChefJoseAndres. As you say: build longer tables, not higher walls. https://t.co/ybpC2BN87f https://t.co/QzUXrQeytA",2926,294,2021-11-05 15:43:47+00:00
